run_id,model,feature_set,split,features,train_rows,test_rows,fit_seconds,predict_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,brier,ece_10,errors,mean_confidence,mean_confidence_correct,mean_confidence_wrong
stratified_holdout__core,XGBoost,core,stratified_holdout,20,141724,35432,65.65833189990371,1.5678544000256807,0.9999153307744412,0.998021209261007,0.9975539436842062,0.9999154304346767,0.0005784742545049771,0.00014864851037695218,7.131746850399102e-05,3,0.999882477983659,0.9998995941280613,0.7977465179724087
stratified_holdout__drop_threat_descriptors,XGBoost,drop_threat_descriptors,stratified_holdout,17,141724,35432,44.356953499955125,1.497524100006558,0.9996048769473922,0.9941004871811154,0.9905882358739222,0.9996085795832343,0.001553548980341629,0.0006684047433640746,0.0002073643772410254,14,0.9994947652074726,0.9996020783428171,0.7280078632329664
stratified_holdout__drop_application_context,XGBoost,drop_application_context,stratified_holdout,13,141724,35432,45.5679823999526,1.4545611999928951,0.9999435538496274,0.9993115318416523,0.9983731211317419,0.9999436861063017,0.0006224734291675844,0.000129992295961766,5.234916572264408e-05,2,0.9999019896591802,0.9999019992372629,0.9997323139243746
stratified_holdout__drop_zones_interfaces,XGBoost,drop_zones_interfaces,stratified_holdout,16,141724,35432,84.28976049995981,1.513944000005722,0.9999435538496274,0.9993115318416523,0.9983731211317419,0.9999436861063017,0.0006259211556248411,0.00014792270213625225,7.13025489233634e-05,2,0.9998722513007043,0.9998722688920092,0.9995606213325702
stratified_holdout__drop_network_endpoint_context,XGBoost,drop_network_endpoint_context,stratified_holdout,15,141724,35432,57.630379599984735,1.661606500041671,0.9999153307744412,0.998021209261007,0.9975539436842062,0.9999154304346767,0.00029501163396551217,0.00013458157635773345,7.443256021411968e-05,3,0.9998784604937083,0.9998920637195847,0.8392288973040624
stratified_holdout__drop_direction,XGBoost,drop_direction,stratified_holdout,19,141724,35432,56.35772079997696,1.7556443000212312,0.9999435538496274,0.9993115318416523,0.9983731211317419,0.9999436861063017,0.0006157171686579264,0.00016122056630830332,9.411224806081552e-05,2,0.9998618888618993,0.9998619146677393,0.999404738404422
chronological_80_20__core,XGBoost,core,chronological_80_20,20,141725,35431,46.544596799998544,1.0028378000715747,0.9933109423950778,0.842110883399849,0.8663847798541943,0.9914040078655928,0.024868729446419276,0.011299719873884465,0.004822855837568054,237,0.9977825800617922,0.9985264384571122,0.887321177678263
chronological_80_20__drop_threat_descriptors,XGBoost,drop_threat_descriptors,chronological_80_20,17,141725,35431,53.596248500049114,1.3446804999839514,0.9880048545059411,0.7875823757858258,0.8337607388444244,0.9856812860328675,0.06421800897569255,0.020304680228967094,0.007100533377099724,425,0.9945001773318772,0.9962444569850917,0.8508289925308747
chronological_80_20__drop_application_context,XGBoost,drop_application_context,chronological_80_20,13,141725,35431,36.000617400044575,1.1639308999292552,0.9981936722079535,0.9628238593463487,0.9692890136349865,0.9981552496431569,0.008832200759941655,0.004271739105848505,0.0027364716169634125,64,0.9954572005909903,0.9959252652954895,0.7368002567780922
chronological_80_20__drop_zones_interfaces,XGBoost,drop_zones_interfaces,chronological_80_20,16,141725,35431,35.60433560004458,1.4271746999584138,0.9930851514210719,0.8410710818681911,0.8662003992520457,0.991331926549327,0.01708776323659802,0.010567330029448745,0.003820786149785474,245,0.9965639719201566,0.9976902558610549,0.8348112096979133
chronological_80_20__drop_network_endpoint_context,XGBoost,drop_network_endpoint_context,chronological_80_20,15,141725,35431,37.172412500018254,1.4602086000377312,0.99844768705371,0.9771276022004098,0.9731022612617959,0.9984639635065469,0.01003912400939101,0.005227682868802724,0.0044578589325058905,55,0.9939898281212045,0.9942215878663679,0.8449219600318961
chronological_80_20__drop_direction,XGBoost,drop_direction,chronological_80_20,19,141725,35431,33.00154169998132,1.3919732999056578,0.9954841805198837,0.8948506094272464,0.9229796952831476,0.9948058868787134,0.010953854619109858,0.006264160175884153,0.002790955158154906,160,0.9961446531300953,0.9973920250206169,0.7211693159389057
forward_train50_test50__core,XGBoost,core,forward_train50_test50,20,88577,88579,24.09196690004319,3.4882299999007955,0.9938134320775804,0.8718462517394409,0.9024919634988828,0.9930250097249113,0.016983447672608402,0.008858067627101987,0.002964161909518763,548,0.9965583020573331,0.9984044086826214,0.6999987905048485
forward_train50_test50__drop_threat_descriptors,XGBoost,drop_threat_descriptors,forward_train50_test50,17,88577,88579,31.80384199996479,4.047978400019929,0.9889928764154032,0.7869958092144225,0.8271169601270556,0.9865334516673359,0.04764473520373771,0.019182810313167018,0.00881318476243322,975,0.9974197320583182,0.9985965506797692,0.891682277172588
