feature_set,heldout_named_contexts,pooled_rows,pooled_errors,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1_all_classes,pooled_weighted_f1
core,7,16815,3288,0.8044603033006245,0.7873474119051076,0.6630725032225891,0.7960165914780468
minimal_context,7,16815,5972,0.6448409158489444,0.43059127600597674,0.41141673947252044,0.6589044671469609
no_threat_descriptors,7,16815,5840,0.6526910496580434,0.4471305409491094,0.42239727993828924,0.6634805498483084
