run_id,feature_set,split,train_rows,test_rows,status,fit_seconds,predict_seconds,accuracy,balanced_accuracy_observed,macro_f1_observed,weighted_f1,errors,observed_classes
stratified_holdout__core,core,stratified_holdout,141724,35432,ok,30.205510899992078,1.4124127000104636,0.9999153307744412,0.998021209261007,0.9975539436842062,0.9999154304346767,3,Allow;Deny;Drop;Reset-Both;Reset-Server
stratified_holdout__no_threat_descriptors,no_threat_descriptors,stratified_holdout,141724,35432,ok,28.784149800005252,1.5756949999922654,0.9996048769473922,0.9941004871811154,0.9905882358739222,0.9996085795832343,14,Allow;Deny;Drop;Reset-Both;Reset-Server
