scope,feature_set,heldout_contexts,test_rows,errors,support_weighted_accuracy,support_weighted_balanced_accuracy,support_weighted_observed_macro_f1,unweighted_observed_macro_f1_mean,unweighted_observed_macro_f1_std,fit_seconds_sum,predict_seconds_sum
named_rule_contexts_only,core,7,16815,3288,0.8044603033006245,0.7249850613908336,0.6530761873542504,0.7666014185679166,0.3841024352248664,57.15390656189993,0.1969128001946956
named_rule_contexts_only,minimal_context,7,16815,5972,0.6448409158489443,0.44316861866671586,0.37248735097404295,0.48823348770109637,0.35550294261678905,55.03440378117375,0.1838328531011939
named_rule_contexts_only,no_threat_descriptors,7,16815,5840,0.6526910496580434,0.4505166314032439,0.378213959812613,0.5118937068589895,0.3803387415740235,58.218174774898216,0.18888517515733838
missing_rule_context_only,core,1,160276,159994,0.0017594649230078252,0.5,0.0017564074616175142,0.0017564074616175142,,1.2917816548142582,1.2875035391189158
missing_rule_context_only,minimal_context,1,160276,159717,0.003487733659437442,0.5008656574621548,0.4999615382012088,0.4999615382012088,,1.4377835800405592,1.0290429641027004
missing_rule_context_only,no_threat_descriptors,1,160276,158478,0.011218148693503682,0.5047376776629123,0.5076196312495173,0.5076196312495173,,1.4995460889767855,1.1622248080093414
