split,feature_set,train_rows,test_rows,accuracy,balanced_accuracy_fixed_labels,macro_f1,errors
stratified_holdout,core,141724,35432,0.9999435538496274,0.9993115318416523,0.9983731211317419,2
stratified_holdout,no_threat_descriptors,141724,35432,0.999576653872206,0.9928101646004702,0.9900909356046756,15
stratified_holdout,minimal_context,141724,35432,0.9992097538947844,0.9850246940708873,0.9820909275015817,28
chronological_holdout,core,141725,35431,0.9933391662668285,0.8424258440297703,0.8667402969910263,236
chronological_holdout,no_threat_descriptors,141725,35431,0.9882870932234484,0.7911019529619664,0.8367389419317544,415
chronological_holdout,minimal_context,141725,35431,0.9861985267138946,0.7869002546280237,0.8249058615554986,489
