feature_set,seed,macro_f1,balanced_accuracy,reset_both_f1,reset_server_f1,errors
core,42,0.9975539436842062,0.998021209261007,0.9974160206718347,0.9903536977491961,3
core,43,0.9973394353961964,0.9970689014672912,0.9974204643164231,0.9902912621359223,4
core,44,0.995923239473677,0.9963866526011882,0.9956933677863911,0.9839228295819936,5
core,45,0.9976645045671706,0.99612281296582,0.999140154772141,0.990228013029316,4
core,46,0.9967613830126618,0.9986230636833046,0.9965457685664939,0.9872611464968153,4
core,47,0.9981702112374691,0.9993053125494077,0.9982758620689656,0.9935897435897436,3
core,48,0.9975653794308743,0.9989672977624785,0.997411561691113,0.9904153354632588,3
core,49,0.9975539436842062,0.998021209261007,0.9974160206718347,0.9903536977491961,3
core,50,0.9991846478947354,0.9996557659208261,0.9991386735572783,0.9967845659163987,1
core,51,0.9965124022849571,0.9957785788866461,0.9965635738831615,0.987012987012987,5
no_threat_descriptors,42,0.9905882358739222,0.9941004871811154,0.9974160206718347,0.9556962025316456,14
no_threat_descriptors,43,0.9848763693158629,0.9895161741118541,0.9948275862068966,0.9308176100628931,23
no_threat_descriptors,44,0.9876074432894425,0.9921154771498781,0.9948275862068966,0.9433962264150944,18
no_threat_descriptors,45,0.9869574679892834,0.9946712451421902,0.9948275862068966,0.9411764705882353,20
no_threat_descriptors,46,0.9855837518195271,0.9879064946210132,0.9948186528497409,0.9333333333333333,21
no_threat_descriptors,47,0.9896688355174563,0.9950341370980975,0.996551724137931,0.9529780564263323,16
no_threat_descriptors,48,0.9877444942577048,0.9940076541528207,0.9948096885813149,0.9440993788819876,18
no_threat_descriptors,49,0.9916799095074094,0.9963306789709874,0.996551724137931,0.9622641509433962,14
no_threat_descriptors,50,0.9866711059649571,0.9965572028528882,0.9948096885813149,0.9390243902439024,21
no_threat_descriptors,51,0.9915599988140164,0.9928226031849592,0.9974160206718347,0.9615384615384616,13
