train_pct,test_window,train_rows,test_rows,macro_f1,balanced_accuracy,errors
60,60-70,106293,17716,0.8054644222167839,0.8135135135135135,69
70,70-80,124009,17715,0.9844143502019481,0.9978260869565216,5
80,80-90,141724,17716,0.9825757575757577,0.9826086956521738,6
90,90-100,159440,17716,0.8036279105712214,0.8027175204804387,223
