variant,map_seed,macro_f1,balanced_accuracy,errors,f1_allow,f1_deny,f1_drop,f1_reset_both,f1_reset_server,feature_set
ordinal_reference,,0.9983731211317419,0.9993115318416523,2,1.0,1.0,1.0,0.9982758620689656,0.9935897435897436,core
permuted_category_codes,20260708.0,0.9983731211317419,0.9993115318416523,2,1.0,1.0,1.0,0.9982758620689656,0.9935897435897436,core
permuted_category_codes,20260709.0,0.9983731211317419,0.9993115318416523,2,1.0,1.0,1.0,0.9982758620689656,0.9935897435897436,core
permuted_category_codes,20260710.0,0.996730886680362,0.996730886680362,4,1.0,1.0,1.0,0.9965576592082617,0.9870967741935484,core
permuted_category_codes,20260711.0,0.9983731211317419,0.9993115318416523,2,1.0,1.0,1.0,0.9982758620689656,0.9935897435897436,core
permuted_category_codes,20260712.0,0.9983731211317419,0.9993115318416523,2,1.0,1.0,1.0,0.9982758620689656,0.9935897435897436,core
ordinal_reference,,0.9900909356046756,0.9928101646004702,15,1.0,1.0,0.999797863573461,0.9982758620689656,0.9523809523809523,no_threat_descriptors
permuted_category_codes,20260708.0,0.9904746385208103,0.991532280604314,14,1.0,1.0,0.9998289668040115,0.9974160206718347,0.9551282051282052,no_threat_descriptors
permuted_category_codes,20260709.0,0.988570828440872,0.9902233001469354,18,1.0,1.0,0.9997512205740585,0.9974160206718347,0.9456869009584664,no_threat_descriptors
permuted_category_codes,20260710.0,0.9884084847480377,0.9902295194391799,17,1.0,1.0,0.999797863573461,0.9965576592082617,0.9456869009584664,no_threat_descriptors
permuted_category_codes,20260711.0,0.9913142565094197,0.9928226031849592,13,1.0,1.0,0.9998289668040115,0.9982758620689656,0.9584664536741214,no_threat_descriptors
permuted_category_codes,20260712.0,0.9890831309647172,0.991519842019825,16,1.0,1.0,0.9998134096280632,0.9965576592082617,0.9490445859872612,no_threat_descriptors
