feature_set,split_id,status,features,train_rows,test_rows,train_groups,test_groups,group_overlap,fit_seconds,predict_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,errors,labels
core,1,ok,20,153892,23264,37637,9410,0,19.358122600009665,0.2981593000004068,0.999828060522696,0.9985840707964602,0.9967895204262878,0.9998288297457127,4,Allow;Deny;Drop;Reset-Both;Reset-Server
core,2,ok,20,152142,25014,37637,9410,0,17.571509400033392,0.43309919990133494,0.9998800671623891,0.9971252103022706,0.9975691389285763,0.999879931775417,3,Allow;Deny;Drop;Reset-Both;Reset-Server
core,3,ok,20,153646,23510,37637,9410,0,23.357674000086263,0.2877303999848664,0.988855806039983,0.8023247330655406,0.8080522197381214,0.9838397746955355,262,Allow;Deny;Drop;Reset-Both;Reset-Server
core,4,ok,20,154083,23073,37637,9410,0,16.992213900084607,0.2569264000048861,0.9998266371949898,0.9970132615798578,0.9970132615798578,0.9998266371949898,4,Allow;Deny;Drop;Reset-Both;Reset-Server
core,5,ok,20,93368,83788,37637,9410,0,8.01258500001859,0.8202136000618339,0.9999522604668927,0.9989647603032366,0.9974293602616393,0.999952395054469,4,Allow;Deny;Drop;Reset-Both;Reset-Server
no_threat_descriptors,1,ok,17,94877,82279,36799,9200,0,13.627008900046349,1.8021788999903947,0.9996961557627098,0.9841685771755657,0.9843435177337941,0.9996961077976928,25,Allow;Deny;Drop;Reset-Both;Reset-Server
no_threat_descriptors,2,ok,17,154821,22335,36799,9200,0,20.132382399984635,0.28969929995946586,0.9987911349899261,0.9849297042158367,0.9824331414785739,0.998800986493897,27,Allow;Deny;Drop;Reset-Both;Reset-Server
no_threat_descriptors,3,ok,17,154568,22588,36799,9200,0,17.03500479995273,0.2875435999594629,0.9986718611652204,0.9808504998275741,0.9754487004985285,0.9986898901954057,30,Allow;Deny;Drop;Reset-Both;Reset-Server
no_threat_descriptors,4,ok,17,155011,22145,36799,9200,0,15.325456300051883,0.27082879992667586,0.9989613908331452,0.9964525595504448,0.9859449047436053,0.9989911997372833,23,Allow;Deny;Drop;Reset-Both;Reset-Server
no_threat_descriptors,5,ok,17,94633,82523,36799,9200,0,13.001107800053433,1.097834499902092,0.9997697611574955,0.9967093063623376,0.9880999298776152,0.9997739395053332,19,Allow;Deny;Drop;Reset-Both;Reset-Server
minimal_context,1,ok,11,154685,22471,36799,9200,0,16.45009579998441,0.39235660003032535,0.9987539495349562,0.984832442424913,0.9835535516230877,0.9987573403067326,28,Allow;Deny;Drop;Reset-Both;Reset-Server
minimal_context,2,ok,11,92323,84833,36799,9200,0,9.40314369997941,0.8319899999769405,0.9995992125705798,0.988014427916565,0.9807865830436195,0.9996066001239585,34,Allow;Deny;Drop;Reset-Both;Reset-Server
minimal_context,3,ok,11,154113,23043,36799,9200,0,14.441662299912423,0.22563320002518594,0.9986112919324741,0.979941572487925,0.9749232779119248,0.9986257548966343,32,Allow;Deny;Drop;Reset-Both;Reset-Server
minimal_context,4,ok,11,94785,82371,36799,9200,0,8.826358099933714,0.7381830000085756,0.9995143922011388,0.980376634603114,0.9658930583642964,0.9995286476037745,40,Allow;Deny;Drop;Reset-Both;Reset-Server
minimal_context,5,ok,11,151906,25250,36799,9200,0,12.998211199999787,0.3019986000144854,0.9988514851485149,0.985508028330152,0.9803701911867098,0.9988684239331846,29,Allow;Deny;Drop;Reset-Both;Reset-Server
