feature_set,splits,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,errors_mean,test_rows_mean,fit_seconds_sum,predict_seconds_sum
core,5,0.996657282195558,0.0008037290229000117,0.9973228934380949,0.0013960229459291419,0.9998383674371455,4.4,35729.8,33.46189232263714,1.3140463582240045
minimal_context,5,0.977350786026188,0.006796672484457967,0.9838138839462424,0.0033852894599283893,0.9990631520326045,32.4,47593.6,29.703723499784246,1.6451050995383412
no_threat_descriptors,5,0.9832990377432834,0.004428922938690686,0.9883686375983858,0.0070849581948486786,0.9991934460294649,24.6,46374.0,31.99224181775935,1.7415292980149388
